KEGGID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Genes
04974	0.477707992991654	1.57689969604863	0.64229174519412	1	71	Protein digestion and absorption	ATP1B2
04370	0.482496916838149	1.55439017081211	0.651338107802488	1	72	VEGF signaling pathway	PRKCA
04070	0.487242837356255	1.53250591016548	0.660384470410856	1	73	Phosphatidylinositol signaling system	PRKCA
04664	0.496607177216492	1.49051178838413	0.678477195627591	1	75	Fc epsilon RI signaling pathway	PRKCA
04540	0.523706767569636	1.37712765957447	0.732755371277799	1	81	Gap junction	PRKCA
04510	0.526101986864096	1.15342590484862	1.745947983415	2	193	Focal adhesion	PRKCA, PAK4
05410	0.532418434872712	1.34302023871303	0.750848096494534	1	83	Hypertrophic cardiomyopathy (HCM)	TPM3
05215	0.549376263945491	1.27956457199406	0.787033546928006	1	87	Prostate cancer	GSTP1
04810	0.551052896598666	1.0995652173913	1.82736524689031	2	202	Regulation of actin cytoskeleton	SLC9A1, PAK4
00240	0.553520724441873	1.26461237466373	0.796079909536374	1	88	Pyrimidine metabolism	RRM1
05414	0.561697983609067	1.23571599330624	0.81417263475311	1	90	Dilated cardiomyopathy	TPM3
04916	0.592965545692183	1.13204650142575	0.886543535620053	1	98	Melanogenesis	PRKCA
05146	0.600434623011547	1.10874704491726	0.904636260836788	1	100	Amoebiasis	PRKCA
03040	0.600434623011547	1.10874704491726	0.904636260836788	1	100	Spliceosome	NCBP1
04670	0.622045744128902	1.04417426545086	0.958914436486996	1	106	Leukocyte transendothelial migration	PRKCA
04660	0.622045744128902	1.04417426545086	0.958914436486996	1	106	T cell receptor signaling pathway	PAK4
04270	0.632417830206325	1.01457840819543	0.986053524312099	1	109	Vascular smooth muscle contraction	PRKCA
05322	0.64908856767715	0.96874411598569	1.03128533735394	1	114	Systemic lupus erythematosus	H3F3A
04530	0.680239281168514	0.888254627227123	1.12174896343762	1	124	Tight junction	PRKCA
04514	0.683201171269616	0.880919698009609	1.13079532604599	1	125	Cell adhesion molecules (CAMs)	NLGN3
04360	0.686136192265381	0.873702127659574	1.13984168865435	1	126	Axon guidance	PAK4
04650	0.689044582761764	0.866599121918271	1.14888805126272	1	127	Natural killer cell mediated cytotoxicity	PRKCA
04910	0.697612326321243	0.845950849414481	1.17602713908783	1	130	Insulin signaling pathway	PHKB
00230	0.749106471169258	0.729544480936741	1.35695439125518	1	150	Purine metabolism	RRM1
05010	0.75832227267928	0.709915171742456	1.39313984168865	1	154	Alzheimer's disease	APBB1
04062	0.803384008214207	0.617993920972644	1.59215981907275	1	176	Chemokine signaling pathway	ADRBK1
04010	0.907859787801266	0.417438464747601	2.31586882774218	1	256	MAPK signaling pathway	PRKCA
