KEGGID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Genes
04964	0.260430600475139	3.48596256684492	0.299095363739163	1	23	Proximal tubule bicarbonate reclamation	CA4
03430	0.260430600475139	3.48596256684492	0.299095363739163	1	23	Mismatch repair	EXO1
04320	0.27008993959443	3.33375959079284	0.312099509988692	1	24	Dorso-ventral axis formation	EGFR
04640	0.274387342410432	2.00038767202946	1.02732755371278	2	79	Hematopoietic cell lineage	IL11RA, MME
03440	0.279624925237744	3.19424019607843	0.325103656238221	1	25	Homologous recombination	RAD51
04350	0.284085328819766	1.94898923105989	1.05333584621184	2	81	TGF-beta signaling pathway	ID4, INHBA
04540	0.284085328819766	1.94898923105989	1.05333584621184	2	81	Gap junction	EGFR, PDGFRA
05323	0.293773963258558	1.9001289847061	1.07934413871089	2	83	Rheumatoid arthritis	CD80, MMP1
03020	0.298328127061319	2.94739819004525	0.351111948737279	1	27	RNA polymerase	POLR3K
04512	0.298612912574577	1.87659264652348	1.09234828496042	2	84	ECM-receptor interaction	COL11A1, IBSP
00340	0.30749943966461	2.83769063180828	0.364116094986807	1	28	Histidine metabolism	MAOB
00591	0.30749943966461	2.83769063180828	0.364116094986807	1	28	Linoleic acid metabolism	PLA2G4A
05010	0.32397753355578	1.53100541842264	2.00263852242744	3	154	Alzheimer's disease	MME, RYR3, PSENEN
00260	0.343017997331788	2.4696394686907	0.416132679984923	1	32	Glycine, serine and threonine metabolism	MAOB
05330	0.360097808337026	2.31907308377897	0.44214097248398	1	34	Allograft rejection	CD80
00600	0.360097808337026	2.31907308377897	0.44214097248398	1	34	Sphingolipid metabolism	PPAP2B
00380	0.384900191029857	2.12459150326797	0.481153411232567	1	37	Tryptophan metabolism	MAOB
05332	0.384900191029857	2.12459150326797	0.481153411232567	1	37	Graft-versus-host disease	CD80
00620	0.392955208456112	2.06677265500795	0.494157557482096	1	38	Pyruvate metabolism	HAGHL
04960	0.400906250714375	2.01199690402477	0.507161703731625	1	39	Aldosterone-regulated sodium reabsorption	IRS1
04940	0.408754640443008	1.96003016591252	0.520165849981153	1	40	Type I diabetes mellitus	CD80
00970	0.416501683703439	1.91066176470588	0.533169996230682	1	41	Aminoacyl-tRNA biosynthesis	DARS2
00350	0.416501683703439	1.91066176470588	0.533169996230682	1	41	Tyrosine metabolism	MAOB
00983	0.424148670184819	1.86370157819225	0.546174142480211	1	42	Drug metabolism - other enzymes	TK1
04672	0.43169687340618	1.81897759103641	0.55917828872974	1	43	Intestinal immune network for IgA production	CD80
02010	0.439147550916151	1.77633378932969	0.572182434979269	1	44	ABC transporters	ABCA5
04330	0.439147550916151	1.77633378932969	0.572182434979269	1	44	Notch signaling pathway	PSENEN
00480	0.446501944490226	1.73562834224599	0.585186581228798	1	45	Glutathione metabolism	GSTP1
04930	0.446501944490226	1.73562834224599	0.585186581228798	1	45	Type II diabetes mellitus	IRS1
04150	0.460926769233928	1.65952685421995	0.611194873727855	1	47	mTOR signaling pathway	FIGF
00561	0.460926769233928	1.65952685421995	0.611194873727855	1	47	Glycerolipid metabolism	PPAP2B
05320	0.460926769233928	1.65952685421995	0.611194873727855	1	47	Autoimmune thyroid disease	CD80
00330	0.481872035701953	1.55702280912365	0.650207312476442	1	50	Arginine and proline metabolism	MAOB
04722	0.482686521688603	1.25152923905065	1.61251413494158	2	124	Neurotrophin signaling pathway	IRS1, NTRK2
04623	0.488673943909062	1.52558823529412	0.663211458725971	1	51	Cytosolic DNA-sensing pathway	POLR3K
04810	0.492302319476775	1.15075376884422	2.62683754240482	3	202	Regulation of actin cytoskeleton	EGFR, FGF2, PDGFRA
05213	0.495387835035661	1.49538638985006	0.676215604975499	1	52	Endometrial cancer	EGFR
00590	0.495387835035661	1.49538638985006	0.676215604975499	1	52	Arachidonic acid metabolism	PLA2G4A
04621	0.495387835035661	1.49538638985006	0.676215604975499	1	52	NOD-like receptor signaling pathway	CXCL2
05223	0.502014831492178	1.46634615384615	0.689219751225028	1	53	Non-small cell lung cancer	EGFR
00562	0.508556041586798	1.43840177580466	0.702223897474557	1	54	Inositol phosphate metabolism	INPP1
03013	0.516076316096845	1.17267508610792	1.71654730493781	2	132	RNA transport	TACC3, POP1
00980	0.546062120468865	1.29062811565304	0.78024877497173	1	60	Metabolism of xenobiotics by cytochrome P450	GSTP1
05210	0.557925892841539	1.24783027965284	0.806257067470788	1	62	Colorectal cancer	BIRC5
05120	0.575150826174293	1.18864889705882	0.845269506219374	1	65	Epithelial cell signaling in Helicobacter pylori infection	EGFR
04730	0.575150826174293	1.18864889705882	0.845269506219374	1	65	Long-term depression	PLA2G4A
04610	0.580744146722657	1.17013574660633	0.858273652468903	1	66	Complement and coagulation cascades	PROS1
05416	0.586264882195202	1.15218360071301	0.871277798718432	1	67	Viral myocarditis	CD80
04920	0.586264882195202	1.15218360071301	0.871277798718432	1	67	Adipocytokine signaling pathway	IRS1
03320	0.591713960860698	1.13476733977173	0.884281944967961	1	68	PPAR signaling pathway	MMP1
04141	0.596856576062216	1.005436394188	1.98963437617791	2	153	Protein processing in endoplasmic reticulum	UBE2E3, DNAJC1
05211	0.602400802508791	1.10144927536232	0.910290237467018	1	70	Renal cell carcinoma	FIGF
03015	0.607640364125845	1.08550420168067	0.923294383716547	1	71	mRNA surveillance pathway	CSTF2
04370	0.612811866489803	1.07000828500414	0.936298529966076	1	72	VEGF signaling pathway	PLA2G4A
04520	0.617916180821519	1.05494281045752	0.949302676215605	1	73	Adherens junction	EGFR
04070	0.617916180821519	1.05494281045752	0.949302676215605	1	73	Phosphatidylinositol signaling system	INPP1
04664	0.627926675467806	1.0260333863275	0.975310968714663	1	75	Fc epsilon RI signaling pathway	PLA2G4A
05222	0.665447967340366	0.924497847919656	1.07934413871089	1	83	Small cell lung cancer	CCNE2
03010	0.669867666795376	0.91318214032601	1.09234828496042	1	84	Ribosome	RPS25
04012	0.674229813672266	0.902135854341737	1.10535243120995	1	85	ErbB signaling pathway	EGFR
04972	0.703214246610823	0.831609566903685	1.19638145495665	1	92	Pancreatic secretion	PLA2G4A
04620	0.718619657883182	0.795975232198142	1.24839803995477	1	96	Toll-like receptor signaling pathway	CD80
05146	0.733236406008889	0.763220439691028	1.30041462495288	1	100	Amoebiasis	COL11A1
04270	0.76344354983048	0.698393246187364	1.41745194119864	1	109	Vascular smooth muscle contraction	PLA2G4A
05145	0.798532931177594	0.627083333333333	1.57350169619299	1	121	Toxoplasmosis	PLA2G4A
04514	0.809047922795384	0.60638045540797	1.6255182811911	1	125	Cell adhesion molecules (CAMs)	CD80
05160	0.81410069714101	0.596521942110177	1.65152657369016	1	127	Hepatitis C	EGFR
04910	0.821433769667747	0.582307341541268	1.69053901243875	1	130	Insulin signaling pathway	IRS1
04310	0.855984756413935	0.516430020283976	1.89860535243121	1	146	Wnt signaling pathway	SFRP1
00230	0.863536911102074	0.502171338333991	1.95062193742933	1	150	Purine metabolism	POLR3K
04062	0.903946720287406	0.425378151260504	2.28872973991708	1	176	Chemokine signaling pathway	CXCL2
04080	0.964991915525426	0.294590125206709	3.25103656238221	1	250	Neuroactive ligand-receptor interaction	ADRB2
01100	0.970586174864138	0.542205078752813	13.3682623445156	8	1028	Metabolic pathways	DTYMK, INPP1, MAOB, PLA2G4A, PLD1, TK1, PPAP2B, POLR3K
